Spawning.Year,Sex,Poh.Length.Mm,Scale.Total.Age.Yrs,Scale.Gilbert.Age,(R) RESOLVED STOCK ID,(R) RESOLVED STOCK-ORIGIN
2017,Female,703,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,703,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,704,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,704,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,704,5,51,Robertson,Hatchery Robertson
2017,Female,705,5,51,Robertson,Hatchery Robertson
2017,Female,705,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,705,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,705,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,705,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,705,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,706,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,706,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,706,5,51,Robertson,Hatchery Robertson
